time,cos_data,sin_data
0.0,1.0,0.0
0.5,0.8775825618903728,0.479425538604203
1.0,0.5403023058681398,0.8414709848078965
1.5,0.0707372016677029,0.9974949866040544
2.0,-0.4161468365471424,0.9092974268256817
2.5,-0.8011436155469337,0.5984721441039565
3.0,-0.9899924966004454,0.1411200080598672
3.5,-0.9364566872907963,-0.35078322768961984
4.0,-0.6536436208636119,-0.7568024953079282
4.5,-0.2107957994307797,-0.977530117665097
5.0,0.28366218546322625,-0.9589242746631385
5.5,0.70866977429126,-0.7055403255703919
6.0,0.960170286650366,-0.27941549819892586
6.5,0.9765876257280235,0.21511998808781552
7.0,0.7539022543433046,0.6569865987187891
7.5,0.3466353178350258,0.9379999767747389
8.0,-0.14550003380861354,0.9893582466233818
8.5,-0.6020119026848236,0.7984871126234903
9.0,-0.9111302618846769,0.4121184852417566
9.5,-0.9971721561963784,-0.0751511204618093
